Company,Company Score,Job Title,Location,Date,Salary,job family,seniority,specialization,city,state,is_remote,data_not_available,country,date_since_posted,salary_min,salary_max
legrand av,3.7,software engineer,Minneapolis-Saint Paul,2d,70K - 135K,software engineer,not specified,,Minneapolis-Saint Paul,,False,False,United States,2,70000.0,135000.0
athenahealth,4.0,"software engineer, athenacollector – rcm rules","Boston, MA",2d,192K - 288K,software engineer,not specified,,Boston,MA,False,False,United States,2,192000.0,288000.0
amex,4.1,java engineer,"Plantation, FL",6d,100K - 125K,other,not specified,java,Plantation,FL,False,False,United States,6,100000.0,125000.0
soft labs na,5.0,entry level to senior level software developers,"Northborough, MA",30d+,85K - 127K,software engineer,entry to senior,,Northborough,MA,False,False,United States,30,85000.0,127000.0
snapchat,3.5,"software engineer, c++","Los Angeles, CA",2d,69K - 109K,software engineer,not specified,c++,Los Angeles,CA,False,False,United States,2,69000.0,109000.0
hertz,3.2,software engineer,"Seattle, WA",2d,124K - 234K,software engineer,not specified,,Seattle,WA,False,False,United States,2,124000.0,234000.0
megaport,3.4,frontend software engineer,data not available,2d,84K - 133K,software engineer,not specified,frontend,,,False,True,United States,2,84000.0,133000.0
"7-eleven, inc.",3.4,software engineer,"Irving, TX",1d,85K - 150K,software engineer,not specified,,Irving,TX,False,False,United States,1,85000.0,150000.0
"summit technologies, inc.",4.2,software engineer,"Springfield, MA",10d,48K - 89K,software engineer,not specified,,Springfield,MA,False,False,United States,10,48000.0,89000.0
adobe,2.9,software development engineer,"San Jose, CA",10d,66K - 97K,software engineer,not specified,,San Jose,CA,False,False,United States,10,66000.0,97000.0
the mitre corporation,4.0,associate software engineer,"Bedford, MA",2d,108K - 199K,software engineer,not specified,,Bedford,MA,False,False,United States,2,108000.0,199000.0
boston children's hospital,4.1,software engineer - ha (hybrid),"Boston, MA",30d+,102K - 173K,software engineer,not specified,,Boston,MA,False,False,United States,30,102000.0,173000.0
amex,3.2,engineer - react/javascript,"Sunrise, FL",5d,124K - 142K,other,not specified,"java, javascript",Sunrise,FL,False,False,United States,5,124000.0,142000.0
ahold delhaize usa,4.0,software engineer - martech,"Carlisle, PA",2d,94K - 133K,software engineer,not specified,,Carlisle,PA,False,False,United States,2,94000.0,133000.0
artera technologies,4.2,software engineers,"Annapolis Junction, MD",6d,70K - 116K,software engineer,not specified,,Annapolis Junction,MD,False,False,United States,6,70000.0,116000.0
adobe,4.3,software engineer,"Lehi, UT",13d,142K - 178K,software engineer,not specified,,Lehi,UT,False,False,United States,13,142000.0,178000.0
workiva,3.5,senior software engineer,Remote,3d,87K - 135K,software engineer,senior,,,,True,False,United States,3,87000.0,135000.0
samsung electronics,3.4,software engineer,"Mountain View, CA",2d,77K - 182K,software engineer,not specified,,Mountain View,CA,False,False,United States,2,77000.0,182000.0
ipg photonics,3.7,software engineer,"Oxford, MA",4d,101K - 144K,software engineer,not specified,,Oxford,MA,False,False,United States,4,101000.0,144000.0
crafty,3.3,software engineer,"Chicago, IL",2d,101K - 168K,software engineer,not specified,,Chicago,IL,False,False,United States,2,101000.0,168000.0
"crunchyroll, llc",4.2,"software engineer iii, payments","San Francisco, CA",13d,74K - 118K,software engineer,senior,,San Francisco,CA,False,False,United States,13,74000.0,118000.0
lego,3.9,backend software engineer,"Irvine, CA",9d,100K - 200K,software engineer,not specified,backend,Irvine,CA,False,False,United States,9,100000.0,200000.0
principal fidata not availablecial group,4.1,experienced software engineer,"Des Moines, IA",2d,51K - 78K,software engineer,not specified,,Des Moines,IA,False,False,United States,2,51000.0,78000.0
intel,3.4,security software engineer,"Phoenix, AZ",22d,71K - 237K,software engineer,not specified,,Phoenix,AZ,False,False,United States,22,71000.0,237000.0
hasbro,4.4,"software engineer, unreal engine","Renton, WA",18d,87K - 116K,software engineer,not specified,,Renton,WA,False,False,United States,18,87000.0,116000.0
software engineering institute,4.2,software engineer,"Pittsburgh, PA",30d+,116K - 184K,software engineer,not specified,,Pittsburgh,PA,False,False,United States,30,116000.0,184000.0
university of dayton,4.4,associate software engineer,"Dayton, OH",2d,75K - 103K,software engineer,not specified,,Dayton,OH,False,False,United States,2,75000.0,103000.0
mit,3.7,software developer,"Cambridge, MA",17d,155K - 221K,software engineer,not specified,,Cambridge,MA,False,False,United States,17,155000.0,221000.0
amazon.com services llc,5.0,software dev engineer - computer science,"Seattle, WA",2d,112K - 165K,software engineer,not specified,,Seattle,WA,False,False,United States,2,112000.0,165000.0
daqscribe solutions,3.9,jr. software engineer,United States,10d,73K - 109K,software engineer,junior,,United States,,False,False,United States,10,73000.0,109000.0
west virginia university,4.5,software engineer - libraries,"Morgantown, WV",4d,120K - 150K,software engineer,not specified,,Morgantown,WV,False,False,United States,4,120000.0,150000.0
mckesson,3.9,software engineer,data not available,2d,88K - 124K,software engineer,not specified,,,,False,True,United States,2,88000.0,124000.0
noblis,2.0,software engineer (all levels),"Chantilly, VA",1d,77K - 87K,software engineer,not specified,,Chantilly,VA,False,False,United States,1,77000.0,87000.0
eimagine,3.5,software engineer,United States,30d+,65K - 90K,software engineer,not specified,,United States,,False,False,United States,30,65000.0,90000.0
csl software solutions,4.1,software/database developer,"Burlington, VT",18d,74K - 101K,software engineer,not specified,,Burlington,VT,False,False,United States,18,74000.0,101000.0
chewy,3.8,software engineer ii,"Bellevue, WA",2d,74K - 111K,software engineer,junior,,Bellevue,WA,False,False,United States,2,74000.0,111000.0
erpa,4.3,software test engineer,"Dublin, OH",2d,147K - 186K,qa/test engineer,not specified,,Dublin,OH,False,False,United States,2,147000.0,186000.0
afterpay,4.1,"software engineer, incentive","Seattle, WA",3d,129K - 174K,software engineer,not specified,,Seattle,WA,False,False,United States,3,129000.0,174000.0
harvard university,5.0,software engineer,"Boston, MA",30d+,89K - 125K,software engineer,not specified,,Boston,MA,False,False,United States,30,89000.0,125000.0
brooks automation,3.0,software development engineer,"Fremont, CA",4d,165K - 190K,software engineer,not specified,,Fremont,CA,False,False,United States,4,165000.0,190000.0
dlrdmv,3.5,software engineer,"Dallas, TX",2d,110K - 160K,software engineer,not specified,,Dallas,TX,False,False,United States,2,110000.0,160000.0
movius interactive corporation,3.3,software engineer- frontend,"Fremont, CA",1d,61K - 110K,software engineer,not specified,frontend,Fremont,CA,False,False,United States,1,61000.0,110000.0
state street,3.7,software engineer,"Burlington, MA",3d,94K - 154K,software engineer,not specified,,Burlington,MA,False,False,United States,3,94000.0,154000.0
"sonalysts, inc.",3.8,junior software engineer,"Waterford, CT",1d,75K - 115K,software engineer,junior,,Waterford,CT,False,False,United States,1,75000.0,115000.0
"preco, llc",3.6,software engineer,"Somerset, WI",4d,62K - 106K,software engineer,not specified,,Somerset,WI,False,False,United States,4,62000.0,106000.0
healthstream,3.6,software developer,"Nashville, TN",10d,72K - 118K,software engineer,not specified,,Nashville,TN,False,False,United States,10,72000.0,118000.0
aptiv plc,4.0,software engineer,"Troy, MI",30d+,75K - 118K,software engineer,not specified,,Troy,MI,False,False,United States,30,75000.0,118000.0
zipongo,3.8,software engineer - epic integrations,Remote,30d+,98K - 137K,software engineer,not specified,,,,True,False,United States,30,98000.0,137000.0
snowflake,3.7,software engineer - snowpark,"Bellevue, WA",2d,113K - 150K,software engineer,not specified,,Bellevue,WA,False,False,United States,2,113000.0,150000.0
staffed4u,4.2,software engineer (level 0 - level ii),"Annapolis Junction, MD",10d,110K - 140K,software engineer,junior,,Annapolis Junction,MD,False,False,United States,10,110000.0,140000.0
honeycomb.io,4.2,midlevel site reliability engineer,United States,10d,141K - 179K,other,mid-level,,United States,,False,False,United States,10,141000.0,179000.0
topaz labs,3.8,"software engineer, infrastructure","Dallas, TX",8d,77K - 136K,software engineer,not specified,,Dallas,TX,False,False,United States,8,77000.0,136000.0
weg electric corp,4.3,software engineer - wind,"Barre, VT",6d,80K,software engineer,not specified,,Barre,VT,False,False,United States,6,,
brown and caldwell,4.3,software engineer,"Atlanta, GA",3d,79K - 126K,software engineer,not specified,,Atlanta,GA,False,False,United States,3,79000.0,126000.0
vertafore,3.7,software engineer ii,"Melville, NY",2d,87K - 119K,software engineer,junior,,Melville,NY,False,False,United States,2,87000.0,119000.0
"aerodyne industries, llc",3.1,simulation software engineer (adv00095i),"Kennedy Sp Ct, FL",1d,72K - 94K,software engineer,not specified,,Kennedy Sp Ct,FL,False,False,United States,1,72000.0,94000.0
kairos inc,3.5,software engineer,"Dahlgren, VA",16d,6K - 7K,software engineer,not specified,,Dahlgren,VA,False,False,United States,16,6000.0,7000.0
topaz labs,3.7,senior software engineer - photo ai,"Dallas, TX",30d+,68K - 106K,software engineer,senior,,Dallas,TX,False,False,United States,30,68000.0,106000.0
s3,3.8,software engineer- 826245,"Stennis Space Center, MS",20d,56K - 88K,software engineer,not specified,,Stennis Space Center,MS,False,False,United States,20,56000.0,88000.0
"j. paul getty trust, the",4.1,software engineer sr,"Los Angeles, CA",30d+,72K - 113K,software engineer,senior,,Los Angeles,CA,False,False,United States,30,72000.0,113000.0
topaz labs,3.4,software engineer - ml performance / hpc,"Dallas, TX",30d+,90K - 119K,software engineer,not specified,,Dallas,TX,False,False,United States,30,90000.0,119000.0
rover.com,3.2,"senior software engineer, orders team","Seattle, WA",25d,101K - 135K,software engineer,senior,,Seattle,WA,False,False,United States,25,101000.0,135000.0
university of oregon,3.8,research software engineer,"Eugene, OR",2d,155K - 180K,software engineer,not specified,,Eugene,OR,False,False,United States,2,155000.0,180000.0
dōterra international,4.0,software engineer ii,Utah,12d,85K - 114K,software engineer,junior,,Utah,,False,False,United States,12,85000.0,114000.0
ahu technologies,4.6,software engineer,"Newark, DE",12d,130K - 160K,software engineer,not specified,,Newark,DE,False,False,United States,12,130000.0,160000.0
alstom,3.4,software engineer,"Pittsburgh, PA",2d,160K - 250K,software engineer,not specified,,Pittsburgh,PA,False,False,United States,2,160000.0,250000.0
jack henry & associates,2.9,software release engineer,United States,8d,100K,software engineer,not specified,,United States,,False,False,United States,8,,
ispa technology,3.0,junior software systems engineer,"Washington, DC",23d,120K - 150K,software engineer,junior,,Washington,DC,False,False,United States,23,120000.0,150000.0
"universal health services, inc. - corporate office",3.4,associate software engineer - data analytics,"King of Prussia, PA",30d+,96K - 146K,software engineer,not specified,,King of Prussia,PA,False,False,United States,30,96000.0,146000.0
relias,3.8,associate software engineer,"Morrisville, NC",4d,107K - 144K,software engineer,not specified,,Morrisville,NC,False,False,United States,4,107000.0,144000.0
tickrs clearing,3.1,software engineer,"Irvine, CA",2d,138K - 189K,software engineer,not specified,,Irvine,CA,False,False,United States,2,138000.0,189000.0
ctc group,4.8,software engineer,"Fort Meade, MD",30d+,78K - 118K,software engineer,not specified,,Fort Meade,MD,False,False,United States,30,78000.0,118000.0
gotab inc,3.5,jr. deployment engineer,"Arlington, VA",10d,113K - 139K,other,junior,,Arlington,VA,False,False,United States,10,113000.0,139000.0
ilogic inc,3.5,software developers,Township of Hamilton,30d+,80.00 Per Hour,software engineer,not specified,,Township of Hamilton,,False,False,United States,30,80000.0,0.0
csx,3.8,software engineer ii - service now,"Jacksonville, FL",23d,70K - 109K,software engineer,junior,,Jacksonville,FL,False,False,United States,23,70000.0,109000.0
synergy ecp,4.4,junior software engineer,"Fort Meade, MD",2d,73K - 117K,software engineer,junior,,Fort Meade,MD,False,False,United States,2,73000.0,117000.0
m&t bank,5.0,software engineer iii,"Wilmington, DE",30d+,62K - 107K,software engineer,senior,,Wilmington,DE,False,False,United States,30,62000.0,107000.0
cardlytics,5.0,software engineer iii,"Menlo Park, CA",18d,124K - 169K,software engineer,senior,,Menlo Park,CA,False,False,United States,18,124000.0,169000.0
"stefanini, inc",3.8,aws cloud engineer,"Richmond, VA",1d,96K - 117K,cloud engineer,not specified,cloud,Richmond,VA,False,False,United States,1,96000.0,117000.0
innovative systems,3.8,c software engineer,"Pittsburgh, PA",9d,84K - 140K,software engineer,not specified,,Pittsburgh,PA,False,False,United States,9,84000.0,140000.0
parabola,3.8,"software engineer, full stack",United States,8d,66K - 94K,software engineer,not specified,fullstack,United States,,False,False,United States,8,66000.0,94000.0
vibrint,3.5,software engineer i (python developer),United States,11d,70K - 120K,software engineer,junior,python,United States,,False,False,United States,11,70000.0,120000.0
millennium management,4.2,front end engineer,United States,4d,78K - 126K,other,not specified,frontend,United States,,False,False,United States,4,78000.0,126000.0
sagitec,3.9,software engineer,"Saint Paul, MN",2d,165K - 209K,software engineer,not specified,,Saint Paul,MN,False,False,United States,2,165000.0,209000.0
careerus soultions,4.0,devops engineer,data not available,2d,90K - 125K,devops engineer,not specified,devops,,,False,True,United States,2,90000.0,125000.0
innovien solutions,3.3,sr. software engineer,"Atlanta, GA",6d,116K - 150K,software engineer,senior,,Atlanta,GA,False,False,United States,6,116000.0,150000.0
ocean power technologies inc,3.8,software engineer,United States,2d,107K - 192K,software engineer,not specified,,United States,,False,False,United States,2,107000.0,192000.0
riverside research institute,4.8,software engineer,"Fairborn, OH",3d,79K - 120K,software engineer,not specified,,Fairborn,OH,False,False,United States,3,79000.0,120000.0
staffed4u,5.0,java software engineer,"Annapolis Junction, MD",30d+,94K - 153K,software engineer,not specified,java,Annapolis Junction,MD,False,False,United States,30,94000.0,153000.0
uber freight,5.0,software engineer ii,"Chicago, IL",1d,84K - 129K,software engineer,junior,,Chicago,IL,False,False,United States,1,84000.0,129000.0
diverse career solutions,3.7,software engineer,data not available,2d,48K - 81K,software engineer,not specified,,,,False,True,United States,2,48000.0,81000.0
snowflake,4.1,software engineer - database engineering,"Bellevue, WA",4d,82K - 129K,software engineer,not specified,,Bellevue,WA,False,False,United States,4,82000.0,129000.0
likewize,4.0,jr devops engineer,"Dallas, TX",2d,61K - 104K,devops engineer,junior,devops,Dallas,TX,False,False,United States,2,61000.0,104000.0
massmutual ascend,4.0,senior software engineer ii,"Cincinnati, OH",19d,182K - 244K,software engineer,senior,,Cincinnati,OH,False,False,United States,19,182000.0,244000.0
washington dc government,4.7,react developer,Remote,2d,96K - 116K,other,not specified,,,,True,False,United States,2,96000.0,116000.0
anavation,3.7,software developer,"Quantico, VA",3d,68K - 136K,software engineer,not specified,,Quantico,VA,False,False,United States,3,68000.0,136000.0
3r info,3.9,software engineer,"Canton, MI",30d+,93K - 132K,software engineer,not specified,,Canton,MI,False,False,United States,30,93000.0,132000.0
strategic mission elements,3.5,software developer (typescript/javascript),"Chantilly, VA",26d,77K - 125K,software engineer,not specified,"java, javascript",Chantilly,VA,False,False,United States,26,77000.0,125000.0
"ipsecure, inc.",3.9,senior software engineer,"Patrick AFB, FL",4d,52K - 200K,software engineer,senior,,Patrick AFB,FL,False,False,United States,4,52000.0,200000.0
relx,3.2,software engineer ii,Georgia,2d,81K - 118K,software engineer,junior,,Georgia,,False,False,United States,2,81000.0,118000.0
solventum,3.6,software engineer - front-end (solventum),"Maplewood, MN",3d,128K - 192K,software engineer,not specified,,Maplewood,MN,False,False,United States,3,128000.0,192000.0
focus technology solutions inc,3.0,cloud engineer,"Boston, MA",4d,150K - 225K,cloud engineer,not specified,cloud,Boston,MA,False,False,United States,4,150000.0,225000.0
two six technologies,4.1,software engineer,"Warrenton, VA",17d,50.00 Per Hour,software engineer,not specified,,Warrenton,VA,False,False,United States,17,50000.0,0.0
"adams, inc.",3.2,software engineer,Tennessee,4d,85K - 120K,software engineer,not specified,,Tennessee,,False,False,United States,4,85000.0,120000.0
cps insurance services,3.4,junior software developer,"Phoenix, AZ",1d,192K - 245K,software engineer,junior,,Phoenix,AZ,False,False,United States,1,192000.0,245000.0
cephas,3.1,software engineer,"Melbourne, FL",4d,114K - 182K,software engineer,not specified,,Melbourne,FL,False,False,United States,4,114000.0,182000.0
chubb,3.4,software engineer - java springboot (dt),"Whitehouse Station, NJ",3d,102K - 134K,software engineer,not specified,java,Whitehouse Station,NJ,False,False,United States,3,102000.0,134000.0
uber freight,3.6,software engineer iii - mobile (multiple openings),"San Francisco, CA",9d,101K - 160K,software engineer,senior,,San Francisco,CA,False,False,United States,9,101000.0,160000.0
consumers energy,4.8,assoc software engineer,"Jackson, MI",6d,90K - 124K,software engineer,not specified,,Jackson,MI,False,False,United States,6,90000.0,124000.0
u.s. bank national association,3.4,senior software engineer,"Hopkins, MN",1d,88K - 128K,software engineer,senior,,Hopkins,MN,False,False,United States,1,88000.0,128000.0
medimpact healthcare systems,3.5,software engineer iv,"San Diego, CA",30d+,83K - 131K,software engineer,senior,,San Diego,CA,False,False,United States,30,83000.0,131000.0
imc fidata not availablecial markets,3.1,graduate software engineer,"Chicago, IL",17d,70K - 90K,software engineer,not specified,,Chicago,IL,False,False,United States,17,70000.0,90000.0
truveta,4.0,software engineer - normalization,"Seattle, WA",3d,164K - 182K,software engineer,not specified,,Seattle,WA,False,False,United States,3,164000.0,182000.0
"signature science, llc",4.2,software engineer,"Egg Harbor Township, NJ",23d,73K - 92K,software engineer,not specified,,Egg Harbor Township,NJ,False,False,United States,23,73000.0,92000.0
jyg innovations,4.1,web developers,"Frederick, MD",2d,108K - 200K,other,not specified,,Frederick,MD,False,False,United States,2,108000.0,200000.0
vensit,3.5,software engineer,"Sayreville, NJ",30d+,123K - 160K,software engineer,not specified,,Sayreville,NJ,False,False,United States,30,123000.0,160000.0
independent software,3.9,software engineer - apprentice,United States,17d,112K - 141K,software engineer,not specified,,United States,,False,False,United States,17,112000.0,141000.0
"visionist, inc.",3.5,junior software engineer,"Fort Meade, MD",10d,101K - 160K,software engineer,junior,,Fort Meade,MD,False,False,United States,10,101000.0,160000.0
ncr,3.1,software dev ops engineer ii,Indiana,3d,69K - 143K,software engineer,junior,,Indiana,,False,False,United States,3,69000.0,143000.0
clearwater analytics,3.6,senior software development engineer,"Seattle, WA",9d,120K - 140K,software engineer,senior,,Seattle,WA,False,False,United States,9,120000.0,140000.0
"technical intelligence solutions, llc",3.0,software engineer,"Crystal City, VA",2d,68K - 120K,software engineer,not specified,,Crystal City,VA,False,False,United States,2,68000.0,120000.0
cvs health,3.8,associate software development engineer - colleague experience,"Woonsocket, RI",29d,104K - 136K,software engineer,not specified,,Woonsocket,RI,False,False,United States,29,104000.0,136000.0
"delta defense, llc",3.9,"associate engineer, analytics","West Bend, WI",2d,82K - 115K,other,not specified,,West Bend,WI,False,False,United States,2,82000.0,115000.0
koalafi,3.2,backend software engineer,"Richmond, VA",13d,161K - 239K,software engineer,not specified,backend,Richmond,VA,False,False,United States,13,161000.0,239000.0
intel,4.1,ai research engineer,Arizona,17d,107K - 150K,other,not specified,,Arizona,,False,False,United States,17,107000.0,150000.0
no.inc,5.0,software engineer,"Baltimore, MD",5d,91K - 122K,software engineer,not specified,,Baltimore,MD,False,False,United States,5,91000.0,122000.0
f5,3.5,software engineer iii,"Seattle, WA",30d+,103K - 144K,software engineer,senior,,Seattle,WA,False,False,United States,30,103000.0,144000.0
arcadia science,3.3,"software engineer, product","Berkeley, CA",6d,80K - 100K,software engineer,not specified,,Berkeley,CA,False,False,United States,6,80000.0,100000.0
artint knowledge tech,3.5,firmware (linux) dev i,Remote,5d,100K - 128K,other,junior,,,,True,False,United States,5,100000.0,128000.0
castellum inc,4.1,software engineer,"Patuxent River, MD",30d+,90K - 180K,software engineer,not specified,,Patuxent River,MD,False,False,United States,30,90000.0,180000.0
instacart,3.7,"senior software engineer, core experiences",Remote,12d,110K - 130K,software engineer,senior,,,,True,False,United States,12,110000.0,130000.0
walgreens,4.4,software engineer (rxr),"Deerfield, IL",1d,76K - 121K,software engineer,not specified,,Deerfield,IL,False,False,United States,1,76000.0,121000.0
duquesne light,3.6,software engineer iii,"Pittsburgh, PA",16d,88K - 111K,software engineer,senior,,Pittsburgh,PA,False,False,United States,16,88000.0,111000.0
super micro computer,3.0,software engineer,"San Jose, CA",30d+,73K - 116K,software engineer,not specified,,San Jose,CA,False,False,United States,30,73000.0,116000.0
ucare,4.4,software engineer senior â€“ azure,"Minneapolis, MN",19d,182K - 273K,software engineer,senior,,Minneapolis,MN,False,False,United States,19,182000.0,273000.0
cybercore technologies,2.6,software engineer 0,"Annapolis Junction, MD",9d,85K - 113K,software engineer,not specified,,Annapolis Junction,MD,False,False,United States,9,85000.0,113000.0
coinflip,3.5,aws devops engineer,"Chicago, IL",25d,65K - 95K,devops engineer,not specified,devops,Chicago,IL,False,False,United States,25,65000.0,95000.0
bi labs,4.1,software developers (021),"Plainsboro, NJ",30d+,109K - 168K,software engineer,not specified,,Plainsboro,NJ,False,False,United States,30,109000.0,168000.0
sahbi systems,4.1,software engineers,Alabama,18d,80K - 99K,software engineer,not specified,,Alabama,,False,False,United States,18,80000.0,99000.0
cultura technologies inc,4.4,sr software engineer,Remote,1d,104K - 153K,software engineer,senior,,,,True,False,United States,1,104000.0,153000.0
excelacom,4.0,devops engineer,"Denver, CO",3d,78K - 129K,devops engineer,not specified,devops,Denver,CO,False,False,United States,3,78000.0,129000.0
cityblock health,4.1,senior software engineer,New York State,9d,82K - 118K,software engineer,senior,,New York State,,False,False,United States,9,82000.0,118000.0
rocket software,4.3,machine learning software engineer,Massachusetts,3d,138K - 294K,software engineer,not specified,,Massachusetts,,False,False,United States,3,138000.0,294000.0
huntington ingalls industries inc.,3.3,software engineer (hybrid) - 19943,"Columbia, MD",11d,136K - 187K,software engineer,not specified,,Columbia,MD,False,False,United States,11,136000.0,187000.0
intuitive machines llc,3.8,research software engineer,"Houston, TX",10d,295K - 440K,software engineer,not specified,,Houston,TX,False,False,United States,10,295000.0,440000.0
equifax,4.4,software engineer - career,"Alpharetta, GA",3d,95K - 146K,software engineer,not specified,,Alpharetta,GA,False,False,United States,3,95000.0,146000.0
super micro computer,4.0,software engineer,"San Jose, CA",19d,117K - 161K,software engineer,not specified,,San Jose,CA,False,False,United States,19,117000.0,161000.0
akamai,4.0,software engineer - remote,United States,9d,173K,software engineer,not specified,,United States,,False,False,United States,9,,
mailprotector,4.6,software engineer,Remote,2d,50.00 Per Hour,software engineer,not specified,,,,True,False,United States,2,50000.0,0.0
blockit now inc,3.8,elixir software engineer,"McKinney, TX",5d,175K - 250K,software engineer,not specified,,McKinney,TX,False,False,United States,5,175000.0,250000.0
tenica and associates llc,4.1,software systems engineer ts/sci ci poly,"Las Cruces, NM",5d,55K - 140K,software engineer,not specified,,Las Cruces,NM,False,False,United States,5,55000.0,140000.0
arch capital group ltd.,3.9,software engineer ii,"Greensboro, NC",5d,126K - 234K,software engineer,junior,,Greensboro,NC,False,False,United States,5,126000.0,234000.0
lynker corporation,3.9,software engineer,"Stennis Space Center, MS",30d+,78K - 129K,software engineer,not specified,,Stennis Space Center,MS,False,False,United States,30,78000.0,129000.0
youtube,3.2,"senior software engineer, full stack, youtube","New York, NY",1d,75K - 102K,software engineer,senior,fullstack,New York,NY,False,False,United States,1,75000.0,102000.0
perforce software,4.2,senior software engineer - us,Remote,2d,115K - 150K,software engineer,senior,,,,True,False,United States,2,115000.0,150000.0
world vision usa,3.8,sr. software engineer,United States,16d,115K - 160K,software engineer,senior,,United States,,False,False,United States,16,115000.0,160000.0
featurespace,5.0,software engineer,"Atlanta, GA",30d+,82K - 92K,software engineer,not specified,,Atlanta,GA,False,False,United States,30,82000.0,92000.0
bigbear.ai,3.7,software engineer,"Columbia, MD",9d,120K - 130K,software engineer,not specified,,Columbia,MD,False,False,United States,9,120000.0,130000.0
"benistar administrative services, inc.",3.9,aws cloud engineer,"Avon, CT",2d,86K - 131K,cloud engineer,not specified,cloud,Avon,CT,False,False,United States,2,86000.0,131000.0
state of colorado job opportunities,4.7,cloud engineer (remote from anywhere in colorado),Colorado,2d,92K - 133K,cloud engineer,not specified,cloud,Colorado,,False,False,United States,2,92000.0,133000.0
intellisource colorado llc,3.1,senior software engineer - enterprise people technology,"Bentonville, AR",3d,112K - 165K,software engineer,senior,,Bentonville,AR,False,False,United States,3,112000.0,165000.0
"first command fidata not availablecial services, inc.",4.2,software engineer,data not available,2d,50.00 - 70.00 Per Hour,software engineer,not specified,,,,False,True,United States,2,,
nbcuniversal,4.4,post software engineer,"Englewood Cliffs, NJ",3d,145K - 162K,software engineer,not specified,,Englewood Cliffs,NJ,False,False,United States,3,145000.0,162000.0
artera technologies,4.4,cloud software engineers,United States,6d,147K - 189K,software engineer,not specified,cloud,United States,,False,False,United States,6,147000.0,189000.0
thompson gray inc.,4.7,engineer (software),Redstone Arsenal,30d+,72K - 159K,software engineer,not specified,,Redstone Arsenal,,False,False,United States,30,72000.0,159000.0
origence,4.0,software engineer - cudl modernization,Remote,1d,79K - 111K,software engineer,not specified,,,,True,False,United States,1,79000.0,111000.0
medius,3.6,software engineer,"Jacksonville, FL",30d+,115K - 161K,software engineer,not specified,,Jacksonville,FL,False,False,United States,30,115000.0,161000.0
f5,3.8,principal software engineer,"Seattle, WA",4d,82K - 102K,software engineer,leadership,,Seattle,WA,False,False,United States,4,82000.0,102000.0
cnh industrial,3.8,software engineer ii,Remote,2d,86K - 136K,software engineer,junior,,,,True,False,United States,2,86000.0,136000.0
fusion plus solutions inc.,3.7,software engineers,"Edison, NJ",30d+,170K - 200K,software engineer,not specified,,Edison,NJ,False,False,United States,30,170000.0,200000.0
university of florida,3.2,software engineer i/ii,Florida,16d,90K - 116K,software engineer,junior,,Florida,,False,False,United States,16,90000.0,116000.0
northwestern mutual,3.8,software engineer,"Franklin, WI",4d,114K - 152K,software engineer,not specified,,Franklin,WI,False,False,United States,4,114000.0,152000.0
vibrint,3.8,software engineer i,"Annapolis Junction, MD",30d+,80K - 120K,software engineer,junior,,Annapolis Junction,MD,False,False,United States,30,80000.0,120000.0
hubbell incorporated,3.4,sr assoc software engineer,"Avon, CT",1d,95K - 126K,software engineer,senior,,Avon,CT,False,False,United States,1,95000.0,126000.0
valkyrie enterprises,3.8,junior computer/software engineer (job id: 3433),"Huntsville, AL",23d,138K - 178K,software engineer,junior,,Huntsville,AL,False,False,United States,23,138000.0,178000.0
